,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,orbetello,42.4408,11.2196,49.8,93.0,0.0,3.44,IT,1643577775.0
1,san patricio,28.017,-97.5169,72.32,50.0,28.0,11.65,US,1643577775.0
2,cozumel,20.5083,-86.9458,74.95,57.0,40.0,3.0,MX,1643577680.0
3,yibin,28.7667,104.6238,42.91,84.0,85.0,2.17,CN,1643577776.0
5,ilulissat,69.2167,-51.1,6.82,56.0,75.0,14.97,GL,1643577524.0
6,novoilinsk,51.6829,108.7143,-14.03,100.0,100.0,1.72,RU,1643577777.0
7,rikitea,-23.1203,-134.9692,76.33,69.0,100.0,4.56,PF,1643577777.0
8,doha,25.2867,51.5333,62.58,65.0,0.0,6.91,QA,1643577718.0
9,ribeira grande,38.5167,-28.7,59.4,63.0,40.0,19.57,PT,1643577778.0
10,kumbo,6.2,10.6667,62.89,28.0,98.0,5.95,CM,1643577778.0
11,new norfolk,-42.7826,147.0587,59.67,73.0,5.0,1.97,AU,1643577779.0
12,volno-nadezhdinskoye,43.3833,131.9917,6.28,66.0,9.0,4.47,RU,1643577779.0
13,ushuaia,-54.8,-68.3,47.86,61.0,75.0,33.38,AR,1643577779.0
14,tasiilaq,65.6145,-37.6368,6.96,45.0,95.0,17.18,GL,1643577780.0
15,port alfred,-33.5906,26.891,74.1,88.0,96.0,18.9,ZA,1643577596.0
16,hilo,19.7297,-155.09,78.53,54.0,20.0,9.22,US,1643577640.0
17,fairbanks,64.8378,-147.7164,-9.08,74.0,0.0,0.0,US,1643577602.0
18,barrow,71.2906,-156.7887,-7.58,71.0,100.0,9.22,US,1643577781.0
19,vaini,-21.2,-175.2,79.81,78.0,100.0,12.06,TO,1643577781.0
20,foix,42.8333,1.5833,37.0,31.0,4.0,5.5,FR,1643577782.0
21,mabaruma,8.2,-59.7833,80.28,68.0,39.0,6.78,GY,1643577594.0
22,qaanaaq,77.484,-69.3632,-7.91,67.0,100.0,6.64,GL,1643577783.0
23,khatanga,71.9667,102.5,-6.81,98.0,99.0,9.93,RU,1643577639.0
24,ust-nera,64.5667,143.2,-12.41,100.0,100.0,1.66,RU,1643577783.0
25,lavrentiya,65.5833,-171.0,-5.94,90.0,3.0,4.76,RU,1643577784.0
26,ajdabiya,30.7554,20.2263,54.88,66.0,84.0,17.94,LY,1643577784.0
28,provideniya,64.3833,-173.3,12.31,73.0,0.0,15.66,RU,1643577785.0
29,bumba,2.1833,22.4667,73.94,36.0,82.0,2.64,CD,1643577785.0
30,roma,43.2128,-75.4557,22.82,42.0,20.0,6.91,US,1643577605.0
31,mataura,-46.1927,168.8643,66.47,82.0,47.0,1.19,NZ,1643577637.0
32,vicuna,-30.0319,-70.7081,79.77,43.0,0.0,9.04,CL,1643577786.0
35,hermanus,-34.4187,19.2345,73.9,85.0,100.0,13.65,ZA,1643577523.0
36,kruisfontein,-34.0033,24.7314,70.88,95.0,74.0,6.11,ZA,1643577787.0
37,port elizabeth,-33.918,25.5701,73.09,94.0,20.0,12.66,ZA,1643577639.0
38,butaritari,3.0707,172.7902,81.81,76.0,18.0,21.03,KI,1643577647.0
39,diego de almagro,-26.3667,-70.05,76.21,28.0,0.0,13.58,CL,1643577788.0
40,jamestown,42.097,-79.2353,21.02,54.0,100.0,3.0,US,1643577449.0
41,castro,-24.7911,-50.0119,64.9,96.0,97.0,6.51,BR,1643577788.0
42,avera,33.194,-82.5271,59.76,43.0,0.0,16.22,US,1643577789.0
43,pandan,14.0453,124.1694,76.86,89.0,31.0,11.52,PH,1643577790.0
45,busselton,-33.65,115.3333,63.05,65.0,87.0,17.78,AU,1643577588.0
46,santa cruz,-17.8,-63.1667,94.46,36.0,20.0,9.22,BO,1643577790.0
47,chokurdakh,70.6333,147.9167,-30.15,92.0,17.0,2.53,RU,1643577632.0
48,lompoc,34.6391,-120.4579,74.01,31.0,0.0,14.97,US,1643577604.0
49,saskylakh,71.9167,114.0833,-17.91,100.0,100.0,2.46,RU,1643577526.0
50,severo-kurilsk,50.6789,156.125,27.55,94.0,100.0,12.75,RU,1643577791.0
52,hervey bay,-25.2986,152.8535,78.04,84.0,21.0,9.53,AU,1643577852.0
53,mahebourg,-20.4081,57.7,79.09,94.0,75.0,12.66,MU,1643577721.0
54,kelvington,52.1667,-103.5343,22.66,93.0,49.0,6.22,CA,1643577852.0
55,hami,42.8,93.45,23.63,41.0,100.0,1.3,CN,1643577853.0
56,seoul,37.5683,126.9778,20.64,73.0,0.0,2.3,KR,1643577853.0
57,ancud,-41.8697,-73.8203,63.43,56.0,27.0,12.57,CL,1643577854.0
58,atuona,-9.8,-139.0333,78.01,77.0,9.0,13.47,PF,1643577725.0
59,kichera,55.9375,110.0997,-5.96,97.0,100.0,0.96,RU,1643577855.0
61,hofn,64.2539,-15.2082,26.11,50.0,0.0,23.24,IS,1643577855.0
62,bengkulu,-3.8004,102.2655,75.97,89.0,100.0,3.27,ID,1643577856.0
63,sept-iles,50.2001,-66.3821,9.05,61.0,75.0,7.0,CA,1643577856.0
65,hobart,-42.8794,147.3294,60.03,90.0,75.0,5.75,AU,1643577857.0
